Index,Title,Artist,Top Genre,Year,Beats Per Minute (BPM),Energy,Danceability,Loudness (dB),Liveness,Length (Duration),Popularity
327,Major Tom,Peter Schilling,german pop,2005,164,54,78,-6,22,274,48
328,An End Has a Start,Editors,alternative dance,2007,150,92,35,-2,34,226,53
329,Lost!,Coldplay,permanent wave,2008,87,78,36,-8,38,236,53
330,What It Is,Mark Knopfler,classic rock,2000,122,67,63,-7,28,298,43
331,Blue Monday - 2016 Remaster,New Order,alternative rock,2005,130,70,79,-10,8,451,73
332,Behind Blue Eyes,Limp Bizkit,alternative metal,2003,120,49,60,-7,12,270,72
333,Rehab,Amy Winehouse,british soul,2006,72,87,43,-3,40,214,74
334,Bird of Paradise,Snowy White,blues rock,2003,144,44,47,-11,32,281,52
335,I'm Yours,Jason Mraz,acoustic pop,2008,151,46,69,-8,11,242,82
336,Onderweg,Abel,dutch rock,2000,98,68,62,-6,8,190,59
337,Mr. Bojangles - Single Version,Sammy Davis Jr.,adult standards,2002,117,18,54,-13,11,343,56
338,Unwritten,Natasha Bedingfield,dance pop,2004,100,80,71,-6,8,259,76
339,Resistance,Muse,modern rock,2009,135,77,47,-7,11,347,63
340,Bedshaped,Keane,modern rock,2004,75,41,33,-7,10,276,41
341,Mia,Gorki,belgian rock,2002,114,30,70,-17,10,332,52
342,You Oughta Know,Alanis Morissette,alternative rock,2005,105,86,64,-7,87,250,52
343,Overcome,Live,alternative metal,2001,146,40,38,-7,10,256,49
344,Stand My Ground,Within Temptation,dutch metal,2004,88,87,25,-4,12,268,56
345,Chasing Cars,Snow Patrol,irish rock,2006,104,59,56,-5,13,268,78
346,Dani California,Red Hot Chili Peppers,alternative rock,2006,96,91,56,-2,35,282,76
347,Unfinished Sympathy,Massive Attack,big beat,2006,114,89,59,-6,51,312,53
348,Nine Million Bicycles,Katie Melua,uk pop,2005,82,25,53,-16,12,197,61
349,You're Beautiful,James Blunt,neo mellow,2005,82,48,68,-10,9,209,76
350,It's My Life,Bon Jovi,glam metal,2000,120,91,55,-4,35,224,77
351,Politik,Coldplay,permanent wave,2002,171,48,26,-8,11,319,62
352,Mooie Dag,BLØF,dutch pop,2002,85,58,50,-11,14,279,40
353,In Nije Dei,De Kast,dutch pop,2004,130,49,41,-9,96,296,38
354,Sex on Fire,Kings of Leon,modern rock,2008,153,91,54,-6,14,203,79
355,Hallelujah,Lisa Lois,dutch pop,2009,182,24,19,-13,11,226,49
356,Somewhere Only We Know,Keane,modern rock,2004,172,66,45,-4,8,236,67
357,Sunrise,Simply Red,british soul,2004,106,73,79,-5,10,200,55
358,How You Remind Me,Nickelback,alternative metal,2001,172,76,45,-5,10,224,78
359,When You Say Nothing At All,Ronan Keating,dance pop,2000,174,45,46,-11,8,257,74
360,Hard Sun,Eddie Vedder,permanent wave,2007,143,83,44,-7,32,322,66
361,Belfast Child,Simple Minds,art rock,2008,81,39,14,-13,10,404,43
362,Feel Good Inc.,Gorillaz,alternative hip hop,2005,139,71,82,-7,61,223,80
363,Alles Is Liefde,BLØF,dutch pop,2007,144,77,51,-6,17,210,36
364,Jerusalem,Anouk,dutch indie,2004,132,84,61,-7,8,236,40
365,Mr Bojangles,Robbie Williams,dance pop,2001,137,33,51,-11,18,198,58
366,Tranen Gelachen,Guus Meeuwis,dutch pop,2007,186,54,30,-8,12,203,50
367,When The Sun Goes Down,Arctic Monkeys,garage rock,2006,169,88,35,-5,12,202,57
368,Frozen,Madonna,dance pop,2009,108,74,59,-8,18,379,55
369,The Racing Rats,Editors,alternative dance,2007,153,84,32,-4,8,258,43
370,Poker Face,Lady Gaga,dance pop,2008,119,81,85,-5,12,237,69
371,Life in Technicolor ii,Coldplay,permanent wave,2008,131,91,47,-7,25,245,47
372,One,Johnny Cash,arkansas country,2000,94,50,51,-8,39,232,47
373,Ruby,Kaiser Chiefs,alternative rock,2007,93,93,44,-3,8,203,62
374,Het Land Van,Lange Frans,dutch hip hop,2005,83,53,66,-9,14,230,49
375,Bad Romance,Lady Gaga,dance pop,2009,119,92,70,-4,8,295,79
376,Elevation,U2,irish rock,2000,110,80,58,-8,5,226,49
377,Trouble,Coldplay,permanent wave,2000,140,55,56,-7,17,273,71
378,De Peel In Brand,Rowwen Hèze,carnaval limburg,2005,199,36,28,-13,14,205,33
379,Black Betty,Ram Jam,album rock,2005,117,73,49,-9,16,236,61
380,Wrong,Novastar,belgian rock,2000,90,66,54,-8,55,214,48
381,Never Be Clever,Herman Brood & His Wild Romance,dutch indie,2001,138,89,56,-5,32,183,41
382,Undisclosed Desires,Muse,modern rock,2009,116,59,68,-7,8,235,65
383,Auto Vliegtuug,Rowwen Hèze,carnaval limburg,2005,96,52,32,-7,16,238,34
384,Meer Dan Een Ander,Van Dik Hout,dutch cabaret,2009,94,18,56,-13,7,223,34
385,Brabant,Guus Meeuwis,dutch pop,2002,82,47,41,-7,10,210,61
386,Mother Earth,Within Temptation,dutch metal,2003,105,59,43,-6,24,330,45
387,One More Time,Daft Punk,electro,2001,123,70,61,-9,33,320,75
388,(You're The) Devil in Disguise,Elvis Presley,adult standards,2002,123,73,48,-8,11,140,65
389,TRUE - Single Edit,Spandau Ballet,dance rock,2008,97,55,74,-9,6,328,72
390,Make It Wit Chu,Queens of the Stone Age,alternative metal,2007,92,81,70,-5,13,290,59
391,Bring Me To Life,Evanescence,alternative metal,2003,95,94,33,-3,24,236,78
392,Clocks,Coldplay,permanent wave,2002,131,75,58,-7,18,308,76
393,Farewell To The Fairground,White Lies,alternative dance,2009,118,77,53,-5,12,257,54
394,Bliss,Muse,modern rock,2001,128,80,45,-9,11,251,46
395,Kijk Omhoog,Nick & Simon,dutch pop,2007,166,56,41,-5,19,176,48
396,9 Crimes,Damien Rice,acoustic pop,2006,74,17,33,-13,9,219,57
397,Working On a Dream,Bruce Springsteen,classic rock,2009,110,77,56,-7,22,209,48
398,Nutbush City Limits,Ike & Tina Turner,brill building pop,2008,77,89,69,-6,3,182,56
399,Do They Know It's Christmas? - 1984 Version,Band Aid,electro,2004,115,64,60,-7,10,223,84
400,Changes,2Pac,g funk,2007,111,66,87,-7,14,269,72
401,Mag Ik Dan Bij Jou,Claudia De Breij,dutch cabaret,2010,132,29,54,-10,71,206,53
402,Sterrenstof,De Jeugd Van Tegenwoordig,dutch hip hop,2010,97,79,71,-4,20,221,48
403,Love Will Tear Us Apart - 2010 Remaster,Joy Division,alternative rock,2010,147,90,53,-9,14,205,64
404,Mag Het Licht Uit,De Dijk,dutch indie,2010,113,42,74,-10,10,259,43
405,Why Tell Me Why,Anita Meyer,dutch pop,2010,112,77,65,-6,59,214,54
406,Wonderful Days,Charly Lownoise,happy hardcore,2010,174,92,55,-11,99,332,37
407,Dat Komt Door Jou,Guus Meeuwis,dutch pop,2010,134,53,59,-10,12,287,57
408,Don't Give up the Fight,Racoon,dutch indie,2010,91,30,28,-13,12,210,27
409,I Follow Rivers - Live @ Giel!,Triggerfinger,belgian rock,2010,110,41,67,-9,3,214,42
410,Liverpool Rain,Racoon,dutch indie,2010,183,50,45,-7,11,266,26
411,No Mercy,Racoon,dutch indie,2010,104,57,77,-6,11,165,36
412,Peter Gunn Theme,"Emerson, Lake & Palmer",album rock,2010,131,83,43,-7,92,217,14
413,Alors on danse,Stromae,belgian pop,2010,120,59,79,-9,7,206,61
414,The Eve of the War,Jeff Wayne,classic uk pop,2010,127,59,40,-9,11,263,28
415,A Night Like This,Caro Emerald,dutch pop,2010,123,71,87,-6,10,226,40
416,Raise Your Glass,P!nk,dance pop,2010,122,71,70,-5,3,203,76
417,Verdammt ich lieb dich - Remastered,Matthias Reim,classic schlager,2010,100,80,59,-7,9,220,38
418,Christmas Lights,Coldplay,permanent wave,2010,131,42,31,-9,8,242,84
419,The Promise You Made,Cock Robin,dance rock,2010,117,41,71,-14,15,227,48
420,Back Home,Golden Earring,album rock,2010,123,84,47,-6,10,232,37
421,Times Are Changing,DI-RECT,dutch indie,2010,123,81,50,-6,15,206,47
422,Proosten,Guus Meeuwis,dutch pop,2010,136,65,64,-6,12,232,49
423,Just the Way You Are,Bruno Mars,dance pop,2010,109,84,64,-5,9,221,80
424,Need You Now,Lady Antebellum,contemporary country,2010,108,72,58,-4,24,236,53
425,Man Down,Rihanna,barbadian pop,2010,156,91,48,-4,5,267,59
426,Pyro,Kings of Leon,modern rock,2010,115,61,37,-7,10,251,66
427,You Got It,Roy Orbison,adult standards,2010,115,59,66,-12,31,204,44
428,Atmosphere - 2010 Remaster,Joy Division,alternative rock,2010,120,39,62,-12,12,249,51
429,Grenade,Bruno Mars,dance pop,2010,110,56,71,-7,12,223,75
430,Have You Ever Been Mellow,Party Animals,gabba,2010,172,96,60,-4,25,188,47
431,Back Down South,Kings of Leon,modern rock,2010,117,62,48,-7,26,241,58
432,Riverside,Agnes Obel,chamber pop,2010,99,19,65,-14,13,231,48
433,Hold On Tight,Solomon Burke,brill building pop,2010,89,73,63,-6,16,324,38
434,Someone Like You,Adele,british soul,2011,135,33,56,-8,10,285,79
435,Set Fire to the Rain,Adele,british soul,2011,108,68,61,-4,13,242,75
436,Rainbow In The Sky - K & A's Radio Blast,DJ Paul Elstak,gabba,2011,168,94,48,-7,28,213,60
437,Levels,Avicii,big room,2011,126,83,60,-7,34,339,58
438,Somebody That I Used To Know,Gotye,australian pop,2011,129,50,86,-7,10,245,76
439,Paradise,Coldplay,permanent wave,2011,140,59,45,-7,8,279,78
440,Rood,Marco Borsato,dutch cabaret,2011,138,78,48,-8,8,319,53
441,A Boy Named Sue (Live),Johnny Cash,arkansas country,2011,105,46,52,-16,78,218,18
442,Still Loving You,Scorpions,album rock,2011,104,61,28,-5,10,403,72
443,Little Black Submarines,The Black Keys,alternative rock,2011,95,47,37,-8,11,251,65
444,Walk,Foo Fighters,alternative metal,2011,138,87,23,-5,29,256,69
445,The A Team,Ed Sheeran,pop,2011,85,29,64,-10,18,258,76
446,kom terug,Spinvis,dutch indie,2011,97,73,50,-6,20,231,47
447,Prachtig mooie dag,Daniël Lohues,dutch indie,2011,103,69,55,-4,8,161,42
448,lippy kids,Elbow,britpop,2011,155,20,42,-15,8,366,29
449,Titanium (feat. Sia),David Guetta,dance pop,2011,126,79,60,-4,13,245,67
450,Faster,Within Temptation,dutch metal,2011,120,93,51,-3,14,264,53
451,Lonely Boy,The Black Keys,alternative rock,2011,166,87,36,-8,10,194,73
452,Turning Tables,Adele,british soul,2011,80,45,31,-6,13,250,66
453,Luv U More - K&A's Radio blast,DJ Paul,electro,2011,168,82,51,-11,14,232,51
454,Kan Ik Iets Voor Je Doen,De Dijk,dutch indie,2011,79,73,50,-6,31,200,30
455,Driver's Seat,Sniff 'n' The Tears,classic uk pop,2011,133,80,74,-8,19,239,54
456,Zing Voor Me,Lange Frans,dutch hip hop,2011,82,52,43,-9,22,216,52
457,Every Teardrop Is a Waterfall,Coldplay,permanent wave,2011,118,73,43,-7,17,241,68
458,Waarom Nou Jij,Marco Borsato,dutch cabaret,2011,140,51,44,-8,13,245,40
459,Mijn Vlakke Land,Jacques Brel,chanson,2011,79,33,40,-11,8,173,33
460,Rumour Has It,Adele,british soul,2011,120,75,62,-5,9,221,65
461,Keep Your Head Up,Ben Howard,british singer-songwriter,2011,79,60,51,-9,11,265,66
462,Pumped Up Kicks,Foster The People,indie pop,2011,128,71,73,-6,10,240,84
463,Happiness,Jonathan Jeremiah,dutch indie,2011,89,57,53,-10,13,182,49
464,Give Me Love,Ed Sheeran,pop,2011,116,33,53,-10,11,526,73
465,Gold on the Ceiling,The Black Keys,alternative rock,2011,130,83,51,-5,7,224,69
466,Ni**as In Paris,JAY-Z,east coast hip hop,2011,140,86,79,-6,35,219,77
467,Run the World (Girls),Beyoncé,dance pop,2011,127,90,73,-4,37,236,75
468,I Won' T Let You Down,Road Band,pop,2011,106,35,64,-14,7,233,33
469,Love On Top,Beyoncé,dance pop,2011,94,75,65,-5,60,267,76
470,Lego House,Ed Sheeran,pop,2011,160,64,59,-8,13,185,71
471,Skinny Love,Birdy,neo mellow,2011,166,29,38,-8,12,201,75
472,Dust Bowl,Joe Bonamassa,blues rock,2011,86,75,52,-7,20,273,44
473,Damn Those Eyes,Kane,dutch pop,2011,172,76,34,-7,35,251,39
474,These Days,Foo Fighters,alternative metal,2011,135,66,53,-4,21,298,64
475,Original Sin,INXS,australian rock,2011,132,63,69,-7,6,319,42
476,Terug Naar De Kust,Maggie MacNeal,nederpop,2011,117,45,49,-9,62,266,39
477,Georgia on My Mind,Ray Charles,adult standards,2011,131,32,29,-8,19,215,49
478,Charlie Brown,Coldplay,permanent wave,2011,138,74,43,-7,33,285,67
479,I've Just Lost Somebody,Golden Earring,album rock,2011,88,40,37,-13,8,189,27
480,Skyfall - Full Length,Adele,british soul,2012,76,55,35,-7,11,286,74
481,Zo Stil,BLØF,dutch pop,2012,170,69,57,-7,11,237,54
482,Holiday In Spain,Counting Crows,alternative rock,2012,126,32,65,-11,13,233,56
483,Radioactive,Imagine Dragons,modern rock,2012,136,78,45,-4,67,187,73
484,Video Games - Remastered,Lana Del Rey,art pop,2012,122,26,39,-10,9,282,55
485,Demons,Imagine Dragons,modern rock,2012,90,71,51,-3,33,175,73
486,She,Elvis Costello,art rock,2012,131,28,33,-13,13,188,64
487,Just Give Me a Reason (feat. Nate Ruess),P!nk,dance pop,2012,95,55,78,-7,13,243,81
488,Try,P!nk,dance pop,2012,104,63,67,-7,9,248,73
489,I Will Wait,Mumford & Sons,modern folk rock,2012,131,76,48,-5,31,277,69
490,Home Again,Kensington,dutch pop,2012,142,75,50,-6,35,197,44
491,Tubular Bells,Mike Oldfield,album rock,2012,149,20,28,-17,13,809,31
492,Winter,Tori Amos,art pop,2012,78,20,24,-14,11,345,19
493,Droomland,Andre Hazes,dutch pop,2012,100,47,32,-7,95,208,42
494,Wat Zou Je Doen?,BLØF,dutch pop,2012,184,51,35,-8,71,291,51
495,Madness,Muse,modern rock,2012,180,42,50,-8,11,281,70
496,Sovereign Light Café,Keane,modern rock,2012,123,73,54,-6,16,219,51
497,Can't Hold Us - feat. Ray Dalton,Macklemore & Ryan Lewis,dance pop,2012,146,92,64,-4,9,258,83
498,Lover of the Light,Mumford & Sons,modern folk rock,2012,107,69,30,-7,27,315,57
499,San Quentin,Johnny Cash,arkansas country,2012,84,40,70,-14,90,158,27
500,On Top Of The World,Imagine Dragons,modern rock,2012,100,93,64,-6,9,190,66
501,Flappie,Youp van 't Hek,dutch cabaret,2012,131,24,75,-13,44,206,52
502,Home Again,Michael Kiwanuka,british soul,2012,85,32,52,-11,12,212,51
503,If You Could See Me Now,The Script,celtic rock,2012,100,76,51,-7,14,220,51
504,Hall of Fame,The Script,celtic rock,2012,85,87,42,-4,12,203,70
505,Dodenrit,Drs. P,dutch rock,2012,148,60,51,-14,81,312,34
506,When I Was Your Man,Bruno Mars,dance pop,2012,73,28,61,-9,9,214,82
507,I Won't Give Up,Jason Mraz,acoustic pop,2012,137,30,59,-10,12,240,72
508,Slapeloze Nachten,The Opposites,dutch hip hop,2012,112,65,81,-7,15,229,57
509,One Moment in Time,Whitney Houston,dance pop,2012,155,54,27,-7,10,285,54
510,Zaterdag,BLØF,dutch pop,2012,141,71,75,-10,10,283,41
511,Babel,Mumford & Sons,modern folk rock,2012,80,81,37,-6,8,209,57
512,Hopeless Wanderer,Mumford & Sons,modern folk rock,2012,154,58,27,-8,11,308,58
513,Follow the Sun,Xavier Rudd,australian indie folk,2012,124,39,61,-11,11,255,67
514,Later Als Ik Groter Ben,BLØF,dutch pop,2012,130,73,53,-5,8,205,48
515,Clown,Emeli Sandé,dance pop,2012,119,26,46,-8,11,221,46
516,Stay - Album Version (Edited),Rihanna,barbadian pop,2012,112,31,62,-10,12,241,66
517,Diamonds,Rihanna,barbadian pop,2012,92,71,56,-5,11,225,67
518,It's Time,Imagine Dragons,modern rock,2012,105,88,66,-5,14,238,66
519,Little Talks,Of Monsters and Men,folk-pop,2012,103,76,45,-5,15,267,75
520,Euphoria,Loreen,electropop,2012,132,68,52,-5,6,214,56
521,Oceaan,Racoon,dutch indie,2013,126,34,47,-8,11,165,63
522,Lola Montez,Volbeat,alternative metal,2013,152,88,51,-5,7,268,57
523,Wake Me Up,Avicii,big room,2013,124,78,53,-6,16,247,85
524,Formidable,Stromae,belgian pop,2013,71,63,51,-9,15,214,49
525,Do I Wanna Know?,Arctic Monkeys,garage rock,2013,85,53,55,-8,22,272,82
526,Another Love,Tom Odell,modern rock,2013,123,54,45,-9,9,244,58
527,Hey Brother,Avicii,big room,2013,125,78,55,-5,8,255,78
528,I See Fire,Ed Sheeran,pop,2013,76,5,63,-21,10,301,64
529,This Is What It Feels Like,Armin van Buuren,edm,2013,130,83,55,-5,6,204,65
530,All of Me,John Legend,neo mellow,2013,120,26,42,-7,13,270,86
531,Dansen Op De Vulkaan,De Dijk,dutch indie,2013,151,95,58,-4,4,269,40
532,Witch Doctor,De Staat,dutch indie,2013,145,56,60,-7,5,207,47
533,Diamonds,The Boxer Rebellion,chamber pop,2013,170,75,45,-6,18,243,35
534,Let Her Go,Passenger,folk-pop,2013,75,55,48,-7,10,253,76
535,Papaoutai,Stromae,belgian pop,2013,116,81,73,-7,6,232,55
536,Strong,London Grammar,metropopolis,2013,78,40,57,-11,8,266,49
537,Layla,Derek & The Dominos,album rock,2013,114,93,41,-5,60,163,32
538,Pompeii,Bastille,metropopolis,2013,127,72,68,-6,27,214,70
539,Waves,Mr. Probz,dutch hip hop,2013,174,28,36,-12,38,174,59
540,Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,Daft Punk,electro,2013,116,81,79,-9,10,248,77
541,All I Want,Kodaline,irish pop,2013,86,41,21,-10,8,306,72
542,Addicted To You,Avicii,big room,2013,128,79,57,-4,9,148,69
543,Animals,Martin Garrix,big room,2013,128,87,68,-6,37,304,65
544,Just Say Yes,Snow Patrol,irish rock,2013,108,88,54,-5,3,282,48
545,Watermensen,3JS,dutch pop,2013,144,40,56,-8,11,209,36
546,Sky and Sand,Paul Kalkbrenner,electronica,2013,127,33,79,-13,19,231,67
547,The Monster,Eminem,detroit hip hop,2013,110,85,78,-4,12,250,75
548,Mirrors,Justin Timberlake,dance pop,2013,77,51,57,-7,9,484,77
549,Story of My Life,One Direction,boy band,2013,121,66,60,-6,12,245,80
550,Royals,Lorde,art pop,2013,85,43,67,-10,13,190,79
551,tous les mêmes,Stromae,belgian pop,2013,110,64,70,-9,28,211,53
552,Mijn Van Straat Geredde Roos,De Dijk,dutch indie,2013,81,76,50,-5,26,208,33
553,Love You Like I Love Myself,Herman Brood & His Wild Romance,dutch indie,2013,148,84,52,-7,20,213,28
554,I Sat By The Ocean,Queens of the Stone Age,alternative metal,2013,117,78,52,-4,11,236,66
555,Everybody (Backstreet's Back) - Radio Edit,Backstreet Boys,boy band,2013,108,87,74,-3,27,225,62
556,A Ton of Love,Editors,alternative dance,2013,142,96,46,-4,28,238,26
557,Foolish Games,Jewel,alaska indie,2013,131,22,46,-10,11,243,41
558,Grow Old with Me,Tom Odell,modern rock,2013,146,58,47,-7,25,183,49
559,Things We Lost In The Fire,Bastille,metropopolis,2013,134,92,59,-5,27,241,48
560,Blurred Lines,Robin Thicke,dance pop,2013,120,60,85,-5,8,264,76
561,The Road To Mandalay,Robbie Williams,dance pop,2013,99,68,62,-8,16,240,30
562,Iron Sky,Paolo Nutini,british soul,2014,140,63,39,-7,11,373,49
563,A Sky Full of Stars,Coldplay,permanent wave,2014,125,64,55,-7,22,268,78
564,Rolling In The Deep,Adele,british soul,2014,105,76,73,-5,6,228,61
565,Streets,Kensington,dutch pop,2014,168,77,38,-6,27,185,57
566,Thinking out Loud,Ed Sheeran,pop,2014,79,45,78,-6,18,282,84
567,Take Me to Church,Hozier,irish singer-songwriter,2014,129,66,57,-5,12,242,77
568,Une belle histoire,Michel Fugain,chanson,2014,83,58,27,-9,37,198,40
569,In Your Arms,Chef'Special,dutch indie,2014,93,41,67,-12,11,215,60
570,Born Slippy (Nuxx),Underworld,alternative dance,2014,140,95,58,-9,47,456,65
571,War,Kensington,dutch pop,2014,126,81,64,-6,7,177,59
572,Op 't platteland,Daniël Lohues,dutch indie,2014,80,37,56,-10,9,182,27
573,"Happy - From ""Despicable Me 2""",Pharrell Williams,dance pop,2014,160,82,65,-5,9,233,80
574,Calm After The Storm,The Common Linnets,dutch americana,2014,116,39,69,-11,12,213,52
575,Riddles,Kensington,dutch pop,2014,148,70,49,-8,8,209,52
576,Under The Pressure,The War On Drugs,chamber pop,2014,134,71,33,-7,13,532,60
577,Magic,Coldplay,permanent wave,2014,93,48,74,-9,11,285,73
578,Photograph,Ed Sheeran,pop,2014,108,38,61,-10,10,259,84
579,All For Nothing,Kensington,dutch pop,2014,152,86,46,-6,10,289,47
580,My Silver Lining,First Aid Kit,stomp and holler,2014,102,73,48,-5,21,215,64
581,Zandloper,Typhoon,dutch hip hop,2014,135,72,76,-8,95,280,47
582,Home,Dotan,dutch pop,2014,130,70,76,-9,4,268,42
583,Red Eyes,The War On Drugs,chamber pop,2014,162,82,46,-6,16,299,65
584,L'amour Toujours (Small Mix),Gigi D'Agostino,eurodance,2014,139,88,64,-4,36,242,70
585,"See Me, Feel Me - Single Version",The Who,album rock,2014,94,34,38,-11,8,217,39
586,Hemel Valt,Typhoon,dutch hip hop,2014,97,74,66,-7,33,161,43
587,Glycerine,Bush,alternative metal,2014,114,34,44,-11,10,266,65
588,Wit Licht,Jeroen van Koningsbrugge,pop,2014,146,69,59,-7,10,212,43
589,Yellow Submarine,The Beatles,british invasion,2014,111,64,62,-7,52,159,58
590,California Love,2Pac,g funk,2014,92,88,66,-3,69,348,41
591,Superheroes,The Script,celtic rock,2014,167,89,49,-4,7,245,75
592,Stay With Me,Sam Smith,pop,2014,84,42,42,-6,11,173,84
593,Shake It Off,Taylor Swift,dance pop,2014,160,80,65,-5,33,219,66
594,Looking Too Closely,Fink,chamber pop,2014,175,52,48,-12,9,311,63
595,No Good in Goodbye,The Script,celtic rock,2014,156,87,37,-5,8,308,59
596,Counting Stars,OneRepublic,dance pop,2014,122,71,66,-5,12,258,74
597,Time After Time,Cyndi Lauper,dance pop,2014,130,44,72,-9,9,243,72
598,Sexy Als Ik Dans,Nielson,dutch pop,2014,94,54,79,-7,20,215,49
599,Done With It,Kensington,dutch pop,2014,116,78,65,-7,10,203,49
600,Love Never Felt So Good,Michael Jackson,pop,2014,118,72,78,-6,7,246,70
601,Shut Up and Dance,WALK THE MOON,indie pop,2014,128,87,58,-4,26,199,82
602,Nothing Really Matters,Mr. Probz,dutch hip hop,2014,135,23,40,-9,11,222,61
603,Promises of No Man's Land,Blaudzun,dutch indie,2014,124,85,62,-6,24,215,43
604,Let It Go,James Bay,neo mellow,2014,147,31,55,-10,11,261,74
605,The Sound of Silence,Disturbed,alternative metal,2015,86,28,32,-9,10,248,75
606,Het Dorp - Live,Wim Sonneveld,dutch cabaret,2015,114,44,37,-15,67,198,15
607,Psycho,Muse,modern rock,2015,125,88,56,-3,87,317,69
608,Élan,Nightwish,finnish metal,2015,128,58,57,-9,14,287,58
609,Dat Ik Je Mis,Maaike Ouboter,dutch pop,2015,174,13,50,-13,10,256,29
610,Heading Up High,Armin van Buuren,edm,2015,128,93,52,-5,11,233,53
611,Zeg Maar Niets Meer - Remastered,Andre Hazes,dutch pop,2015,95,79,36,-8,91,167,26
612,Chandelier,Sia,australian dance,2015,117,79,40,-3,7,216,71
613,Uptown Funk,Mark Ronson,dance pop,2015,115,61,86,-7,3,270,82
614,Birds,Anouk,dutch indie,2015,85,41,17,-8,11,203,33
615,Michel,Anouk,dutch indie,2015,122,39,58,-8,9,249,20
616,Let It Happen,Tame Impala,australian psych,2015,125,88,60,-6,11,468,76
617,Everglow,Coldplay,permanent wave,2015,146,45,54,-9,11,283,69
618,The Less I Know The Better,Tame Impala,australian psych,2015,117,74,64,-4,17,216,85
619,Ordinary Love,U2,irish rock,2015,121,48,66,-9,18,219,45
620,Stressed Out,Twenty One Pilots,modern rock,2015,170,64,73,-6,6,202,83
621,For Bitter Or Worse,Anouk,dutch indie,2015,83,41,27,-8,12,255,21
622,All I Need - Edit,Air,downtempo,2015,95,42,50,-12,20,242,41
623,Hymn for the Weekend,Coldplay,permanent wave,2015,90,74,49,-5,30,259,78
624,Adventure of a Lifetime,Coldplay,permanent wave,2015,112,92,64,-4,15,264,74
625,Three Days In A Row,Anouk,dutch indie,2015,171,50,36,-6,16,254,13
626,Moondance,Van Morrison,classic rock,2015,135,33,65,-11,22,272,42
627,R U Kiddin' Me,Anouk,dutch indie,2015,89,82,53,-6,9,200,16
628,"Theme From New York, New York",Frank Sinatra,adult standards,2015,109,59,41,-5,28,204,68
629,Hold Me,Douwe Bob,dutch americana,2015,161,38,35,-8,15,230,26
630,Budapest,George Ezra,folk-pop,2015,128,46,72,-8,11,201,68
631,Shoes of Lightning,Racoon,dutch indie,2015,78,40,54,-8,11,220,32
632,Mercy,Muse,modern rock,2015,130,93,48,-5,31,232,60
633,Tennessee Whiskey,Chris Stapleton,contemporary country,2015,49,37,39,-11,8,293,78
634,"Oxygene, Pt. 4",Jean-Michel Jarre,laboratorio,2015,189,76,43,-8,55,247,57
635,A Head Full of Dreams,Coldplay,permanent wave,2015,123,92,45,-5,33,224,68
636,We Come 1 - Radio Edit,Faithless,big beat,2015,136,90,65,-11,15,222,54
637,Forever Man - 2015 Remaster,Eric Clapton,album rock,2015,111,90,64,-6,17,192,46
638,Down Man,Brainbox,dutch prog,2015,168,76,43,-9,10,155,35
639,Liquid Spirit - Claptone Remix,Gregory Porter,contemporary vocal jazz,2015,121,62,88,-9,5,384,63
640,Living Doll - 2003 Remaster,Cliff Richard & The Drifters,rock-and-roll,2015,127,47,76,-7,10,157,33
641,Ocean of Night,Editors,alternative dance,2015,106,67,57,-10,11,305,58
642,Be the One,Dua Lipa,dance pop,2015,87,65,66,-4,6,203,73
643,Up&Up,Coldplay,permanent wave,2015,164,72,48,-5,10,405,70
644,Ship To Wreck,Florence + The Machine,art pop,2015,142,92,56,-4,28,235,54
645,Love Yourself,Justin Bieber,canadian pop,2015,100,38,61,-10,28,234,83
646,Happy Xmas (War Is Over),John Lennon,album rock,2015,147,68,40,-6,68,212,47
647,Sorry,Kensington,dutch pop,2016,134,41,46,-8,10,227,63
648,Cold Little Heart,Michael Kiwanuka,british soul,2016,108,40,49,-8,14,598,67
649,Barcelona,Freddie Mercury,glam rock,2016,170,46,18,-9,9,267,40
650,Leef,André Hazes Jr.,dutch pop,2016,121,73,67,-7,18,218,62
651,Hello,Adele,british soul,2016,158,45,48,-6,9,295,73
652,Against All Odds (Take a Look at Me Now) - 2016 Remaster,Phil Collins,mellow gold,2016,116,50,58,-7,13,206,74
653,Treur Niet (Ode Aan Het Leven),Diggy Dex,dutch hip hop,2016,98,72,68,-9,13,225,60
654,When We Were Young,Adele,british soul,2016,144,59,38,-6,9,291,73
655,Do I Ever,Kensington,dutch pop,2016,163,79,39,-6,40,204,53
656,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,dance pop,2016,113,83,67,-6,10,238,75
657,Whatever You Want,Status Quo,album rock,2016,123,55,55,-11,18,242,36
658,Lazarus,David Bowie,album rock,2016,130,70,66,-7,9,382,61
659,Million Years Ago,Adele,british soul,2016,106,27,72,-8,11,227,62
660,Dark Necessities,Red Hot Chili Peppers,alternative rock,2016,92,74,70,-7,11,302,74
661,You Want It Darker,Leonard Cohen,canadian folk,2016,109,33,67,-17,8,284,63
662,Bridges,Kensington,dutch pop,2016,150,83,38,-7,7,220,49
663,Once Upon a Time in the West - Main Theme,Ennio Morricone,classic soundtrack,2016,90,21,12,-11,13,223,54
